# element centroid_x centroid_y signed_dwr abs_dwr primal_residual_norm dual_correction_rms dual_solution_rms residual_dual_product marked
127 2.788518440607e-01 3.200968062365e-01 -3.214706185603e-07 3.214706185603e-07 2.950909231344e-03 9.570407037010e-05 1.333484399481e-01 2.824140247323e-07 0
128 2.836548502530e-02 3.997437634526e-01 1.686402985826e-07 1.686402985826e-07 2.500005832733e-03 5.784637961561e-05 1.326766729538e-01 1.446162864415e-07 0
129 3.567966676987e-01 2.493609104735e-01 -3.936860732193e-07 3.936860732193e-07 2.541440275344e-03 1.311839622091e-04 1.253729812032e-01 3.333962050375e-07 0
130 5.663106958796e-02 3.994047110297e-01 1.512267637498e-07 1.512267637498e-07 2.578712674974e-03 5.816051355212e-05 1.332347435853e-01 1.499792534799e-07 0
131 1.788255516303e-01 3.802357026991e-01 -7.192171015247e-08 7.192171015247e-08 3.003554569410e-03 7.311699297094e-05 1.363610183456e-01 2.196108783394e-07 0
132 3.844656117522e-01 2.073618848137e-01 -4.089565334146e-07 4.089565334146e-07 2.306394752689e-03 1.530890592492e-04 1.147114700179e-01 3.530838029465e-07 0
133 1.127016265724e-01 3.983293114996e-01 8.061873254908e-08 8.061873254908e-08 2.776723923200e-03 5.925791921352e-05 1.355318176807e-01 1.645428819192e-07 0
134 1.380923891770e-01 3.975499212651e-01 3.520195457237e-08 3.520195457237e-08 2.896122999580e-03 5.533495568128e-05 1.370673146502e-01 1.602568378293e-07 0
135 4.245049395325e-01 1.506363269343e-02 -5.262645359794e-07 5.262645359794e-07 1.920069940863e-03 2.298142875183e-04 1.246667247920e-02 4.412595054448e-07 0
136 3.297284284676e-01 2.920287508486e-01 -4.043053453606e-07 4.043053453606e-07 2.938938468249e-03 1.146450040791e-04 1.344006824641e-01 3.369346126808e-07 0
137 4.223389667833e-01 7.564215627368e-02 -5.602299666974e-07 5.602299666974e-07 2.083659397573e-03 2.224848196629e-04 5.068914914556e-02 4.635825853080e-07 0
138 3.819857820586e-01 2.359486949048e-01 -4.355849336871e-07 4.355849336871e-07 2.575061061599e-03 1.448710420049e-04 1.263440071627e-01 3.730517792202e-07 0
139 4.204703552545e-01 1.061132698806e-01 -6.108355195325e-07 6.108355195325e-07 2.265938694718e-03 2.309174307803e-04 6.931739976129e-02 5.232447416898e-07 0
140 3.549737478558e-01 2.781634017592e-01 -4.456436871772e-07 4.456436871772e-07 2.958186197147e-03 1.257658600686e-04 1.354831999944e-01 3.720388313272e-07 0
141 2.524774200297e-01 3.642047572175e-01 -3.116555381379e-07 3.116555381379e-07 3.698204251149e-03 8.595104933759e-05 1.414689992280e-01 3.178645360510e-07 0
142 4.136145638132e-01 1.660451985791e-01 -5.114950183502e-07 5.114950183502e-07 2.341884212721e-03 1.922457702233e-04 1.019688432386e-01 4.502173342483e-07 0
